notice-identifier,total-value-eur,total-value-eur-log,bidder-count,bidder-size-numeric,notice_type_cn-standard,notice_type_can-standard,notice_type_can-modif,notice_type_pin-only,notice_type_can-social,notice_type_cn-social,notice_type_veat,notice_type_pin-rtl,notice_type_pin-buyer,notice_type_cn-desg,total-value,cluster,is_outlier,anomaly_score
a262dff6-89f3-47ad-bcc1-aa1fe68e6d4f,1049400.0,13.863730083159776,1,,0,0,0,0,1,0,0,0,0,0,1049400.0,5,False,0.00036224547486884116
498e0478-ab02-4fce-a9ae-74c8c074e96d,1261565.8,14.047864998495225,1,,0,1,0,0,0,0,0,0,0,0,1261565.8,0,False,2.0062621509912632e-05
8113c2ae-65e0-421b-a0c0-7eff269bf01e,392447.81,12.880161387316956,1,,0,1,0,0,0,0,0,0,0,0,392447.81,0,False,7.083109701884215e-06
e707055e-5a69-4f12-a638-a0d721f612fb,5151563.4,15.45481099350236,1,,0,1,0,0,0,0,0,0,0,0,5151563.4,0,False,1.716469626055273e-05
f5856f79-14f0-402d-8780-319d0099fcf8,360000.0,12.793862088206213,1,,0,1,0,0,0,0,0,0,0,0,360000.0,0,False,8.001006965332579e-07
23cf2452-3187-4a62-81cd-8c7a84ee08ff,251378.22,12.434717914601867,1,,1,0,0,0,0,0,0,0,0,0,251378.22,1,False,1.5358772737398945e-05
039a7877-dc22-4aaf-95ca-f86c5fed5d6d,26226.05,10.17454659989482,1,,0,1,0,0,0,0,0,0,0,0,26226.05,0,False,5.064962619353406e-05
fffc8dd5-561f-4411-a795-b79291932805,15000000.0,16.52356082573315,1,,1,0,0,0,0,0,0,0,0,0,15000000.0,1,False,9.118035147176284e-05
02d5b100-4a66-4424-a2a1-9061f94a4fa2,115644.96,11.658288734061951,1,,0,1,0,0,0,0,0,0,0,0,115644.96,0,False,1.3727874592957624e-05
831a283a-bfa4-45fe-9008-239a9a97460a,375000.0,12.83468397161566,1,,0,1,0,0,0,0,0,0,0,0,375000.0,0,False,2.4670002674349873e-05
5be99652-4b2d-46ba-87a2-3239fbd96386,12600000.0,16.349207451286784,1,,1,0,0,0,0,0,0,0,0,0,12600000.0,1,False,9.09691747725029e-05
3e3326f4-d9b5-4a1a-b8f0-1918b231a713,0.0,0.0,1,,0,1,0,0,0,0,0,0,0,0,0.0,0,False,0.0
9f0e258c-233a-4637-9f3a-e9f0c9675320,2500000.0,14.731801689838347,1,,0,1,0,0,0,0,0,0,0,0,2500000.0,0,False,1.2277329299980262e-05
8ba37a5e-523f-45d8-a88f-d7af6e704a73,24000000.0,16.993564429978885,1,,1,0,0,0,0,0,0,0,0,0,24000000.0,1,False,8.926804713723967e-05
83b751f6-7684-47e0-bb4a-95b2b489777b,656730245.78,20.302783908848816,1,,1,0,0,0,0,0,0,0,0,0,656730245.78,1,False,0.0022079554363189867
e17080c1-2da3-4df2-8d1b-78c7a7c4be2e,6000000.0,15.607270193858982,1,,0,0,0,1,0,0,0,0,0,0,6000000.0,8,False,9.321318210459272e-05
2b7e79e7-ab6d-460b-a2be-d2b9f4dc015c,301515.08,12.61657862706054,1,,0,1,0,0,0,0,0,0,0,0,301515.08,0,False,1.4290043398629695e-05
a292ce5e-72e6-4073-8dd7-7d067878d543,723728.0,13.49217229190434,1,2.0,0,1,0,0,0,0,0,0,0,0,723728.0,0,False,1.5330226145952893e-05
b7151e06-5d6b-4ec6-99be-cee5b1b506f9,19615244.13,16.791817634616272,1,,0,1,0,0,0,0,0,0,0,0,38461263.0,0,False,0.0001869503147172958
a1ba594e-e8ab-448c-922e-2fe6dec03018,7800000.0,15.86963441986494,1,,1,0,0,0,0,0,0,0,0,0,7800000.0,1,False,5.3127278026271806e-05
eb3f1148-2cbe-45c2-b634-a9d52a4183fb,220000000.0,19.20913810886209,1,,1,0,0,0,0,0,0,0,0,0,220000000.0,1,False,0.0013446034189366447
579854a2-f516-4bdc-8c39-249d37ce2079,96000.0,11.472113887062386,1,,0,1,0,0,0,0,0,0,0,0,96000.0,0,False,2.748799844432303e-05
56d0a0e4-2883-45c2-8ccd-0515782a4807,636000.0,13.362955414648066,6,2.5,0,1,0,0,0,0,0,0,0,0,636000.0,0,False,1.5241334993502625e-05
4fbac5bc-0544-4932-be7e-7c917fca1dba,580000.0,13.270785106659046,1,,1,0,0,0,0,0,0,0,0,0,580000.0,1,False,1.3820908936301672e-05
7d8ecce4-9d6e-421c-b13a-1ee3d0e581b9,1676999.9999999998,14.33251763710809,1,,1,0,0,0,0,0,0,0,0,0,19500000.0,1,False,0.0001054902329806171
b8ff6afe-d41f-4a8c-989c-e8ff710bb93f,8981500.0,16.010677575531,1,,0,0,0,0,0,0,0,1,0,0,8981500.0,6,False,0.0007242737214114353
0697f23c-1fd6-4e11-804d-000d3ab4d5f0,35720000.0,17.39122134196809,1,,1,0,0,0,0,0,0,0,0,0,35720000.0,1,False,4.324561418073547e-05
1558d20b-fda3-42d6-a0f1-11dc545fe920,93330.0,11.443907593170772,1,,1,0,0,0,0,0,0,0,0,0,183000.0,1,False,5.2174125993869254e-05
e13c6df3-7b65-4631-bf31-a39229300db7,2400000.0,14.690979711984754,1,2.5,0,1,0,0,0,0,0,0,0,0,2400000.0,0,False,1.1530080331901983e-05
06c9addf-fe5c-4f13-9e23-9e00cc16c8ec,24027.39,10.086991326902089,1,,0,1,0,0,0,0,0,0,0,0,24027.39,0,False,4.420069499499853e-05
8743c57d-feb1-44f3-b78c-ffc5155f29ee,61200.0,11.021918808236205,1,,0,1,0,0,0,0,0,0,0,0,120000.0,0,False,6.247075233865344e-05
70d105f2-567e-4174-b9f7-5b3e28cf5d43,1100066.86,13.910882426774885,1,,0,1,0,0,0,0,0,0,0,0,1100066.86,0,False,4.275099357955848e-05
3b60b72e-a7f8-470f-b156-92f61fbe6f6b,29000.0,10.275085591132717,1,,0,0,1,0,0,0,0,0,0,0,29000.0,2,False,0.0003074738672896073
f490f1b7-21f6-446b-8632-9e741aefe06f,520000.0,13.161586013632684,1,,1,0,0,0,0,0,0,0,0,0,520000.0,1,False,7.029993446300957e-07
4ed8d90f-710e-401a-9552-9151198722d3,1800000.0,14.403297778421797,1,,0,1,0,0,0,0,0,0,0,0,1800000.0,0,False,0.0
754e12de-446b-48df-9ad3-65f7932b6b35,307560.39,12.636429988579264,1,,1,0,0,0,0,0,0,0,0,0,307560.39,1,False,1.869994103878547e-05
46c63bbc-ea26-4ff3-8786-d27f060802a7,704000.0,13.464535055593716,1,,0,0,0,0,0,0,1,0,0,0,704000.0,9,False,0.0007052342491859931
7b2b45b1-222b-49c9-885e-f4cba6245d16,957272.706,13.77184463372342,1,,1,0,0,0,0,0,0,0,0,0,24545454.0,1,False,5.8209137706720394e-05
5b3fdb04-c4b2-4228-b1e2-8ee5818f378b,0.0,0.0,1,,1,0,0,0,0,0,0,0,0,0,0.0,4,False,0.0
d6a855bd-3ed2-40f1-a3a8-3df68b113f59,2129245.0,14.571278484405813,1,2.0,0,1,0,0,0,0,0,0,0,0,2129245.0,0,False,1.5233442358221787e-05
c72b4e6e-5f70-4a50-abf4-f2f0b67c0605,2386524.0,14.685348890965091,1,,1,0,0,0,0,0,0,0,0,0,2386524.0,1,False,1.1081870747683236e-05
721c36fa-9e02-4d7c-87cf-9684cc9e8bfd,327168.0,12.698232135946018,1,2.5,0,1,0,0,0,0,0,0,0,0,327168.0,0,False,1.0368869559984927e-05
55cba1a9-ed0a-463b-867f-9bdc77d6c457,570000.0,13.25339339419516,1,,1,0,0,0,0,0,0,0,0,0,570000.0,1,False,2.3479148196271972e-05
5ad0dd51-f5e9-4ea2-b18f-60c411294f63,378763.3,12.844669390868562,1,,0,1,0,0,0,0,0,0,0,0,378763.3,0,False,1.4080607764883924e-05
ac7be0e1-d0f6-40db-8bda-495f036e51dc,89989.2,11.407456054494688,1,,0,1,0,0,0,0,0,0,0,0,89989.2,0,False,1.1418041010674459e-05
15f116b1-f439-4297-b63c-977780594e1a,62951.0,11.05012781021482,1,,0,1,0,0,0,0,0,0,0,0,62951.0,0,False,1.427699466854044e-05
2b8af57c-91f9-4072-8cf3-b2f511939381,4213296.0,15.253756034559972,1,,0,1,0,0,0,0,0,0,0,0,4213296.0,0,False,1.9330609028366475e-05
da36a984-faac-45e6-a678-00764815a3b7,7911999.999999999,15.88389127867497,1,,1,0,0,0,0,0,0,0,0,0,92000000.0,1,False,0.00020456120726306145
