notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,notice_is_cn-standard,notice_is_pin-only,notice_is_pin-tran,notice_is_pin-rtl,notice_is_cn-social,notice_is_pin-buyer,notice_is_qu-sy,notice_is_corr,notice_is_pin-cfc-social,notice_is_pin-cfc-standard,total-value,notice_type_cn-standard,notice_type_can-standard,notice_type_can-modif,notice_type_pin-only,notice_type_can-social,notice_type_cn-social,notice_type_veat,notice_type_pin-rtl,notice_type_pin-buyer,notice_type_cn-desg,is_outlier,outlier_status,anomaly_score,prediction_time
041e7234-d834-4cbc-b57d-c315c61495eb,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.075,2025-05-30 11:59:56
3aeb050a-abed-4ff5-a483-c718c03c4fbc,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.075,2025-05-30 11:59:56
a282656e-0c2f-4acc-abc0-4092cdfd9926,1200000.0,1200000.0,13.997832948091215,0,1,0,0,0,0,0,0,0,0,1200000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1743,2025-05-30 11:59:56
f7f88d09-16d5-4fe8-a34b-2e4503b3822d,16000000.0,16000000.0,16.588099342704055,1,0,0,0,0,0,0,0,0,0,16000000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1414,2025-05-30 11:59:56
7307ba9c-101b-475c-91dd-c041c24aacbf,960000.0,960000.0,13.774689605110144,1,0,0,0,0,0,0,0,0,0,960000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1723,2025-05-30 11:59:56
3276597e-efde-454e-8890-104ce219c27d,287975.2,287975.2,12.570633116814411,1,0,0,0,0,0,0,0,0,0,287975.2,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1751,2025-05-30 11:59:56
1910711a-604f-417d-a6e6-1ad135b92418,348000.0,348000.0,12.759960632315702,1,0,0,0,0,0,0,0,0,0,348000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1753,2025-05-30 11:59:56
d62a0795-781d-4129-8a1b-d3085e400eea,6901873.25,6901873.25,15.747303563117404,0,0,0,1,0,0,0,0,0,0,6901873.25,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1583,2025-05-30 11:59:56
1a38e7a0-952a-48a5-9ebe-fb132c3e3453,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.075,2025-05-30 11:59:56
0bfdbac7-6504-4650-a6b7-f4686f2d8538,30600.0,30600.0,10.328787967145065,1,0,0,0,0,0,0,0,0,0,60000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.157,2025-05-30 11:59:56
