notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_veat,notice_is_pin-only,notice_is_cn-social,notice_is_can-modif,notice_is_pin-cfc-standard,notice_is_cn-desg,notice_is_can-social,notice_is_pin-buyer,total-value
e8e0b9eb-8794-4907-b500-b9ccf494a5e8,800000.0,800000.0,13.592368256649284,0,,0,1,0,0,0,0,0,0,0,0,800000.0
6e6c844b-dc22-496d-9916-feadd7d1f49d,660000.0,660000.0,13.399996629152975,0,,1,0,0,0,0,0,0,0,0,0,660000.0
d247efb5-4161-460e-ad7a-e5442b5d0946,3449697.2,3449697.2,15.053797306920227,2,2.0,0,1,0,0,0,0,0,0,0,0,3449697.2
90a64d6e-dfb9-4e45-908c-0caf544bde1d,1505165.91,1505165.91,14.224414353670243,3,4.0,0,1,0,0,0,0,0,0,0,0,1505165.91
02a06985-0ef3-4539-9b97-626c6a2a04a3,3262500.0,3262500.0,14.99800463712645,0,,0,1,0,0,0,0,0,0,0,0,37500000.0
b17a8fc5-fc4a-4152-b0d0-3512839f6e05,26150729.68,26150729.68,17.079387689958644,1,3.0,0,1,0,0,0,0,0,0,0,0,26150729.68
ba41884a-727b-4937-b819-364059b83f17,650760.0,650760.0,13.385897726286748,0,,1,0,0,0,0,0,0,0,0,0,7480000.0
7f9a7e9e-1b9e-4b56-8273-9f962ff178a0,70096.58,70096.58,11.15764355031551,0,,0,1,0,0,0,0,0,0,0,0,70096.58
158c6d66-9226-4bfe-8776-460bfbd81773,150000.0,150000.0,11.918397239722838,0,,1,0,0,0,0,0,0,0,0,0,150000.0
c0d44075-1b8c-4d73-9741-f32eb10e9e63,115000.0,115000.0,11.652696102959753,0,,1,0,0,0,0,0,0,0,0,0,115000.0
63b9274e-917d-49aa-9790-98208b336c76,185010.0,185010.0,12.128170561752277,0,,0,1,0,0,0,0,0,0,0,0,185010.0
53af8a85-509c-44e7-950a-ee8613cf865d,217384.79,217384.79,12.289428888147503,0,,0,1,0,0,0,0,0,0,0,0,217384.79
4065b49c-66b9-42c6-bbe6-f1a714b4255b,5510000.0,5510000.0,15.522075362617285,0,,0,1,0,0,0,0,0,0,0,0,5510000.0
479fd2dc-80f2-4092-be26-2c7fab3bd2c1,1838750.0,1838750.0,14.424597094745359,1,4.0,0,1,0,0,0,0,0,0,0,0,1838750.0
f6d4ed77-74d2-42c6-b577-9b29a980bed2,4943862.0,4943862.0,15.413657567379738,0,,0,1,0,0,0,0,0,0,0,0,56826000.0
85098cb8-851d-489e-b31a-7e1ed82cc87d,1022738.67,1022738.67,13.837995535520642,1,4.0,0,1,0,0,0,0,0,0,0,0,1022738.67
a06ddf78-50fd-46ac-bbef-729a0681439f,513040.0,513040.0,13.148111042986603,0,,1,0,0,0,0,0,0,0,0,0,513040.0
