notice-identifier,dps-usage-lot,notice-type,publication-number,procedure-accelerated,legal-basis,organisation-country-buyer,estimated-value-cur-lot,procedure-identifier,winner-size,estimated-value-cur-proc,total-value,winner-selection-status,direct-award-justification-text-proc.ell,direct-award-justification-proc,exclusion-grounds,legal-basis-proc,subcontracting-percentage,subcontracting-value,framework-value-notice,legal-basis-text.ell,accessibility-lot,winner-owner-nationality,currency,total-value-eur,total-value-eur-capped,is_outlier,total-value-eur-log,bidder-count,primary-bidder-size,bidder-size-numeric,notice_is_can-standard,notice_is_cn-standard,notice_is_can-modif,notice_is_pin-cfc-standard,notice_is_can-social,notice_is_pin-cfc-social,notice_is_cn-desg,notice_is_cn-social,notice_is_pin-only
14166ddc-373f-4449-b6fd-ebbbfbc558b0,none,cn-standard,272907-2025,False,32014L0024,GRC,EUR,c62778be-1ad0-4581-8b64-6dfdc95ab4b2,,EUR,1500000.0,,,,exg-natl-bre-nat-law,,,,,,,,EUR,1500000.0,1500000.0,False,14.220976332738882,0,,,0,1,0,0,0,0,0,0,0
88ea69fe-6df7-4996-9866-863fd2c99c84,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,cn-standard,272962-2025,False,32014L0025,GRC,EUR,417817f7-b25c-4209-9930-bebc48f0d379,,EUR,2579587.25,,,,,,,,,,,,EUR,2579587.25,2579587.25,False,14.763140351138222,0,,,0,1,0,0,0,0,0,0,0
96dabcea-9063-4928-852a-d3c0c47a6e7f,none|none|none|none|none|none|none|none|none|none,cn-standard,273258-2025,False,32014L0025,GRC,EUR,417817f7-b25c-4209-9930-bebc48f0d379,,EUR,2579587.25,,,,,,,,,,,,EUR,2579587.25,2579587.25,False,14.763140351138222,0,,,0,1,0,0,0,0,0,0,0
b3138467-9db4-4f2f-a9ea-d7c64cbf3ae8,none|none|none,can-standard,273337-2025,,32014L0024,GRC,EUR,8b47f824-0bd5-43dd-ab71-8bd778893c8c,sme|sme|sme,EUR,968557000.0,selec-w|selec-w|selec-w,,,,,,,,,,,EUR,968557000.0,9312578.711999994,True,20.691317894009746,3,sme,2.5,1,0,0,0,0,0,0,0,0
d62f579a-d83f-480e-951d-187bf6c17d19,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,cn-standard,273362-2025,False,32014L0025,GRC,EUR,417817f7-b25c-4209-9930-bebc48f0d379,,EUR,2579587.25,,,,,,,,,,,,EUR,2579587.25,2579587.25,False,14.763140351138222,0,,,0,1,0,0,0,0,0,0,0
dac18272-f042-450b-b73a-197676153dfc,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,cn-standard,273421-2025,False,32014L0025,GRC,EUR,417817f7-b25c-4209-9930-bebc48f0d379,,EUR,2579587.25,,,,,,,,,,,,EUR,2579587.25,2579587.25,False,14.763140351138222,0,,,0,1,0,0,0,0,0,0,0
bc70443c-0b55-4dfb-b56d-6448838eb385,none,cn-standard,273512-2025,False,32014L0024,GRC,EUR,0a5aed5f-1965-4547-90e2-cf34984cab2e,,EUR,6004350.31,,,,,,,,,,,,EUR,6004350.31,6004350.31,False,15.607994982681918,0,,,0,1,0,0,0,0,0,0,0
1e3b08cd-b441-4569-9c1e-83829ee5ed90,none,can-standard,273667-2025,False,32014L0024,GRC,EUR,628fe78f-cc41-4f28-92ba-d7faac21c83b,medium,EUR,1913851.0,selec-w,,,,,,,,,,,EUR,1913851.0,1913851.0,False,14.46462852303143,1,medium,3.0,1,0,0,0,0,0,0,0,0
8ed5dae1-32e1-4aa8-b5a9-34e916f3870b,none,cn-standard,273912-2025,False,other,GRC,EUR,17cac31c-e32c-4a4f-9918-4d526fbc1484,,EUR,330449.0,,,,exg-crim-fraud|exg-sitn-insolvency|exg-crim-part|exg-crim-terror|exg-crim-laund|exg-crim-traffick|exg-mis-bre-lab-law|exg-crim-corrpt|exg-mis-distortion|exg-sitn-bankr|exg-pmt,,,,,,,,EUR,330449.0,330449.0,False,12.7082106408986,0,,,0,1,0,0,0,0,0,0,0
5155af10-22aa-45ff-b05f-98e006369886,,can-social,273937-2025,,32014L0024,GRC,EUR,f002a162-a06c-4d37-8e5c-7b9bc747ac0d,small,EUR,389608.0,selec-w,,,,,,,,,,,EUR,389608.0,389608.0,False,12.87289895109972,1,small,2.0,0,0,0,0,1,0,0,0,0
399ae52c-aaae-4099-8d50-3b5a5b84a738,none,cn-standard,273947-2025,False,32014L0024,GRC,,b10146f4-2622-44bc-b60c-f554922a501f,,EUR,247607.08,,,,,,,,,,,,EUR,247607.08,247607.08,False,12.419602452539607,0,,,0,1,0,0,0,0,0,0,0
fadfed97-d12f-4d1a-92b0-962373201c9c,none,can-standard,273977-2025,False,32014L0024,GRC,EUR,e524def1-f50d-454b-bfef-662b49d76c0f,sme,EUR,1799115.04,selec-w,,,,,,,,,,,EUR,1799115.04,1799115.04,False,14.402806013353864,1,sme,2.5,1,0,0,0,0,0,0,0,0
4955265e-dc09-417e-8b8c-ce325a28c2d2,none,can-standard,274116-2025,,32014L0024,GRC,,8be7f9de-f6dc-4ce4-8fc9-d5f7d1d6cee7,micro,,199333.8,selec-w,,,,,,,,,,,EUR,199333.8,199333.8,False,12.202741102097121,1,micro,1.0,1,0,0,0,0,0,0,0,0
cd8cf4a7-888a-4ff7-82ae-75426a4ba64a,none,cn-standard,274236-2025,False,32014L0024,GRC,EUR,bd048eac-b7c6-423e-acdc-827cbf8ac32f,,EUR,556480.55,,,,,,,,,,,,EUR,556480.55,556480.55,False,13.229389295509328,0,,,0,1,0,0,0,0,0,0,0
406cb9cf-8093-4df5-80ec-6eb37e793562,none,can-standard,274244-2025,,32014L0024,GRC,,d3629b90-9b06-44c1-a65b-09dd81e99dca,micro,,494831.1,selec-w,,,,,,,,,,,EUR,494831.1,494831.1,False,13.111973792093044,1,micro,1.0,1,0,0,0,0,0,0,0,0
8f1a477d-65fa-440d-8ecb-213a7db295bb,none,cn-standard,274296-2025,False,32014L0025,GRC,EUR,e496115f-a85f-421d-ba2e-3115d22758f5,,EUR,61145.0,,,,,,,,,,,,EUR,61145.0,61145.0,False,11.021019726056748,0,,,0,1,0,0,0,0,0,0,0
0dd63544-cfb8-4568-8385-d5d336460194,none|none|none|none|none|none,cn-standard,274452-2025,False,32014L0024,GRC,EUR,5ef3bde2-d480-48e3-b3fa-5f5f0af97ec0,,EUR,327220.31,,,,,,,,,,,,EUR,327220.31,327220.31,False,12.698392009951828,0,,,0,1,0,0,0,0,0,0,0
bc8a2696-bb18-4cd1-923d-60f33da1bc22,dps-nlist,cn-standard,274485-2025,False,32014L0024,GRC,EUR,b23da3fa-9c9d-43cd-b892-51d35dee88f3,,EUR,142477876.11,,,,,,,,,,,,EUR,142477876.11,9312578.711999994,True,18.774697297269828,0,,,0,1,0,0,0,0,0,0,0
f3a4520f-a464-444c-ab7f-a49da6fc9d08,none,cn-standard,274583-2025,False,32014L0024,GRC,EUR,a023853a-2261-45d4-b485-a7e70ae24449,,EUR,700000.0,,,,,,,,,,,,EUR,700000.0,700000.0,False,13.45883704259595,0,,,0,1,0,0,0,0,0,0,0
8f85ec8d-1ce6-4828-86a1-df95a19365b0,none|none,cn-standard,274648-2025,False,32014L0024,GRC,EUR,2d1a9ab6-50ac-46ba-8a86-210f5cdc2dfa,,EUR,459000.0,,,,,,,,,,,,EUR,459000.0,459000.0,False,13.036807667689546,0,,,0,1,0,0,0,0,0,0,0
47757e6f-ddad-46d6-9be9-6783e1da646e,none,cn-standard,274751-2025,False,32014L0024,GRC,,26c83917-b7b3-4233-b112-627f66630d17,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,0,1,0,0,0,0,0,0,0
0e384643-abed-492b-810a-9192f48caf79,none,can-standard,274754-2025,False,32014L0024,GRC,EUR,70ee6f0c-3d3a-45c3-a54a-14196ae81aa0,medium,EUR,1371960.8,selec-w,,,,,,,,,,,EUR,1371960.8,1371960.8,False,14.13175224431476,1,medium,3.0,1,0,0,0,0,0,0,0,0
e2233d47-6f23-44f8-b837-592f120e900e,none,cn-standard,274773-2025,False,other,GRC,EUR,542becc5-44a3-419b-b1ea-ed1f50cd6e75,,EUR,167541.5,,,,,,,,,,,,EUR,167541.5,167541.5,False,12.028992329406188,0,,,0,1,0,0,0,0,0,0,0
35b4952a-3f6d-4747-b64c-4f75e6e9487d,none,cn-standard,274834-2025,False,32014L0025,GRC,EUR,ac284570-2e26-42cf-90be-9f37a6638d61,,EUR,17800000.0,,,,,,,,,,,,EUR,17800000.0,9312578.711999994,True,16.694709071442087,0,,,0,1,0,0,0,0,0,0,0
03409b27-2d4d-4adb-8df8-d05dcc1db479,none,cn-standard,274884-2025,False,other,GRC,EUR,bedf92c6-9d75-4cee-abae-b18ad5049c05,,EUR,290000.0,,,,,,,,,,,,EUR,290000.0,290000.0,False,12.577639650232573,0,,,0,1,0,0,0,0,0,0,0
7f38f43d-8a14-4d17-a158-a6ba81e5c787,none,can-standard,275118-2025,False,32014L0024,GRC,EUR,02800a08-a5c4-49bf-bfa8-860b2e4574fe,sme,EUR,73373.28,selec-w,,,,,,,,,,,EUR,73373.28,73373.28,False,11.20332874447578,1,sme,2.5,1,0,0,0,0,0,0,0,0
47c75782-3152-4ace-8caf-8d64caa10b5d,none,can-standard,275172-2025,,32014L0024,GRC,,13244800-488d-41d6-885c-02f3036ab49f,micro,,145739.19,selec-w,,,,,,,,,,,EUR,145739.19,145739.19,False,11.889580794914929,1,micro,1.0,1,0,0,0,0,0,0,0,0
5d8951c8-1737-4ed1-b627-120655238cdf,none|none|none|none,can-standard,275240-2025,False,32014L0024,GRC,EUR,4b2eb665-f4c4-473e-9ed7-e7603335ed8f,sme|sme,EUR,1691425.76,selec-w|selec-w|selec-w|selec-w,,,,,,,,,,,EUR,1691425.76,1691425.76,False,14.3410829674183,2,sme,2.5,1,0,0,0,0,0,0,0,0
dfbf7ece-b958-4bf3-b8f5-cf7cf3f1a7f4,none|none,cn-standard,275307-2025,False,32014L0025,GRC,EUR,028e1c1d-ece6-4dd7-b749-3eea0339d8e7,,EUR,110917400.0,,,,,,,,,,,,EUR,110917400.0,9312578.711999994,True,18.524296347135493,0,,,0,1,0,0,0,0,0,0,0
3f199dd7-00a2-4274-8239-80699be64287,none|none,cn-standard,275394-2025,False,32014L0024,GRC,EUR,275fe456-7ed1-42a3-8e60-c801a6d3bf77,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,0,1,0,0,0,0,0,0,0
44e45551-f5bc-40c5-b20a-9d78e31fc252,none|none|none|none|none|none|none|none|none|none|none|none|none,can-standard,275413-2025,False,32014L0024,GRC|GRC,EUR,87e6337a-fa32-4b83-844a-bc298cc88004,sme|sme|sme|sme,EUR,415807.19,selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w,,,,,,,,,,,EUR,415807.19,415807.19,False,12.937979351181763,4,sme,2.5,1,0,0,0,0,0,0,0,0
a64f4b27-87d9-48cf-8f5a-b0206a03c3bf,,can-modif,275494-2025,,32014L0024,GRC,,9277179a-1b84-4fd3-add1-ff8b3d9c582b,,,1200000.0,,,,,,,,,,,,EUR,1200000.0,1200000.0,False,13.997832948091215,0,,,0,0,1,0,0,0,0,0,0
0cd423cb-acd1-4813-801a-61f7a2e2e485,none,can-standard,275776-2025,False,32014L0024,GRC,EUR,3ba81926-ff09-4678-b22c-1d88f3182235,sme,EUR,156350.0,selec-w,,,,,,,,,,,EUR,156350.0,156350.0,False,11.959858758772153,1,sme,2.5,1,0,0,0,0,0,0,0,0
67bc07bf-b2c8-49a1-8545-669d43e1b42e,none,cn-standard,275807-2025,False,32014L0024,GRC,EUR,30230965-2c2f-4e78-b43c-abeb25f683c0,,EUR,382650.0,,,,exg-mis-prep-confl|exg-sitn-as-susp|exg-crim-fraud|exg-sitn-insolvency|exg-crim-terror|exg-crim-corrpt|exg-mis-misrepresent|exg-sitn-other|exg-crim-laund|exg-crim-traffick|exg-mis-bre-lab-law|exg-mis-bre-soc-law|exg-mis-bre-env-law|exg-sitn-liq-admin|exg-mis-sanction|exg-sitn-bankr|exg-mis-partic-confl|exg-crim-part|exg-mis-distortion|exg-mis-misconduct|exg-pmt-bre-ssc|exg-pmt-bre-tax|exg-natl-bre-nat-law,,,,,,,,EUR,382650.0,382650.0,False,12.854878625588892,0,,,0,1,0,0,0,0,0,0,0
