notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_can-standard,notice_is_cn-standard,notice_is_can-modif,notice_is_pin-only,notice_is_cn-social,notice_is_pin-rtl,notice_is_veat,notice_is_can-social,notice_is_can-desg,notice_is_cn-desg,total-value
1799c2e6-3d7b-4e70-9a3a-68b33a4245c0,6103481.51,6103481.51,15.62437006951895,0,,0,1,0,0,0,0,0,0,0,0,6103481.51
527527da-84c6-452a-8393-5589c5595eba,143530.0,143530.0,11.874306318725717,1,4.0,1,0,0,0,0,0,0,0,0,0,143530.0
2cf04156-b151-4028-866c-2f7fdb3bca89,1165183.5,1165183.5,13.96839000154159,2,2.5,1,0,0,0,0,0,0,0,0,0,29876500.0
573e206e-3d68-4868-a2a6-19960ee43e4a,4676000.0,4676000.0,15.357953815432072,0,,0,1,0,0,0,0,0,0,0,0,4676000.0
62280185-477a-488a-bc1b-dfd9a157d847,1800000.0,1800000.0,14.403297778421795,0,,1,0,0,0,0,0,0,0,0,0,1800000.0
a99b7c91-4818-467e-b16c-d160836aef42,946091.0,946091.0,13.76009509489101,4,2.5,1,0,0,0,0,0,0,0,0,0,946091.0
19d1ee92-688f-40d5-8926-a2062e6ebe2c,664800.0,664800.0,13.407243026734037,2,4.0,1,0,0,0,0,0,0,0,0,0,664800.0
8967db25-ec28-4140-b63a-930935d43561,650000.0,650000.0,13.384729180332174,0,,1,0,0,0,0,0,0,0,0,0,650000.0
40ebe40f-9ea3-43ae-9f47-7f5bb549fdcc,483696.0,483696.0,13.0892139566004,1,4.0,1,0,0,0,0,0,0,0,0,0,483696.0
283629bd-f85f-4b88-b6be-8b67302a18a7,111141.74,111141.74,11.618570600120083,1,2.0,1,0,0,0,0,0,0,0,0,0,111141.74
77dde1b0-6d57-4a7e-a33e-8e08aa53e858,96264.52173,96264.52173,11.474865503875545,6,4.0,1,0,0,0,0,0,0,0,0,0,2468321.07
c5d05021-df2c-45fb-9e50-53c272b12dd8,230000.0,230000.0,12.345838935721968,1,3.0,1,0,0,0,0,0,0,0,0,0,230000.0
d2ff6dc4-3e79-4cd1-a7a0-b14e25fa12d9,38886.82,38886.82,10.568436370037352,1,1.0,1,0,0,0,0,0,0,0,0,0,38886.82
6034b7f5-8ad8-4c35-a23d-114fc1de1eb1,78300.0,78300.0,11.268315653289422,0,,1,0,0,0,0,0,0,0,0,0,900000.0
7e3072da-f3ef-491a-b1bc-403bab6710de,5000833.51,5000833.51,15.425115358471785,4,2.0,1,0,0,0,0,0,0,0,0,0,5000833.51
2855c06a-1b91-478c-8d53-78ebde1011d8,304500.0,304500.0,12.626429650198945,0,,0,1,0,0,0,0,0,0,0,0,3500000.0
5d51f90a-c466-482f-9e2a-1ade7f3ae07c,331929.0,331929.0,12.712679382294542,1,4.0,1,0,0,0,0,0,0,0,0,0,331929.0
06714e4d-e9db-45d4-afeb-14a0771092d5,1461876.468,1461876.468,14.195232104561994,2,2.5,1,0,0,0,0,0,0,0,0,0,37484012.0
61d04646-de63-4621-b2ba-04e9520c76bc,3103748.3,3103748.3,14.94812139027086,1,3.0,1,0,0,0,0,0,0,0,0,0,3103748.3
82f97298-963f-4353-915f-ca270357bcaa,17953.72,17953.72,9.795608311996677,1,2.5,1,0,0,0,0,0,0,0,0,0,17953.72
de045a22-bdd9-4361-bc8d-5af90c7a0ee2,5979.0,5979.0,8.696175846944678,1,2.0,1,0,0,0,0,0,0,0,0,0,5979.0
