notice-identifier,dps-usage-lot,notice-type,exclusion-grounds,publication-number,procedure-accelerated,legal-basis,organisation-country-buyer,legal-basis-proc,procedure-identifier,winner-selection-status,winner-size,estimated-value-cur-lot,total-value,estimated-value-cur-proc,winner-owner-nationality,direct-award-justification-text-proc.deu,direct-award-justification-proc,no-negocaition-necessary-lot,accessibility-lot,legal-basis-text.deu,framework-value-notice,currency,total-value-eur,total-value-eur-capped,is_outlier,total-value-eur-log,bidder-count,primary-bidder-size,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_can-modif,notice_is_can-social,notice_is_pin-only,notice_is_cn-social,notice_is_veat,notice_is_can-desg,notice_is_qu-sy
9fea956c-28d4-43cb-888f-683b7599c872,none|none|none|none,cn-social,exg-sitn-other|exg-crim-corrpt|exg-crim-part|exg-mis-distortion|exg-mis-bre-env-law|exg-crim-laund|exg-crim-fraud|exg-crim-traffick|exg-sitn-insolvency|exg-mis-bre-lab-law|exg-sitn-liq-admin|exg-mis-misrepresent|exg-mis-partic-confl|exg-mis-prep-confl|exg-mis-sanction|exg-mis-bre-soc-law|exg-pmt-bre-ssc|exg-sitn-as-susp|exg-pmt-bre-tax|exg-crim-terror|exg-natl-bre-nat-law,188115-2025,,32014L0024,DEU,vgv,d48c0471-f000-4c2c-979b-d0c60ffde105,,,,,,,,,,,,,EUR,,,False,0.0,0,,,0,0,0,0,0,1,0,0,0
0fb3d453-7603-493e-8c99-5cbdf8d88096,none,cn-standard,nati-ground,188119-2025,,32014L0024,DEU,vob-a-eu,40d6cbc6-e04d-456d-87e4-4a6bc92c5658,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
329e60ea-31ea-4602-8639-3b6976962c35,none|none|none|none|none,can-standard,,188133-2025,,32014L0024,DEU,vgv,75c52be1-eb02-4dd6-8e12-f840bb9111d8,selec-w|selec-w|selec-w|selec-w|selec-w,medium|medium|medium,,,,DEU|DEU|DEU,,,,,,,EUR,,,False,0.0,3,medium,3.0,0,1,0,0,0,0,0,0,0
91dc6f13-b677-4f4b-9189-f60e03b7c432,none,can-standard,,188136-2025,,32014L0024,DEU,vgv,ba137a6d-8266-4aae-96c8-a81155b5a07f,selec-w,small,EUR,38904.33,,,,,,,,,EUR,38904.33,38904.33,False,10.568886538215288,1,small,2.0,0,1,0,0,0,0,0,0,0
06d254b6-76b4-4c6d-80e8-12044a5cfd3c,none,cn-standard,exg-natl-bre-nat-law,188139-2025,False,32014L0025,DEU,sektvo,8c73ee4e-23e1-4a5c-8553-6fe00c2c05a9,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
3fea9634-48b1-4e01-aede-74f3f93f9660,none|none|none|none|none|none|none|none,cn-standard,exg-natl-bre-nat-law,188141-2025,False,32014L0025,DEU,sektvo,423a2f46-8593-4bc5-bb4f-c9bb74d67d17,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
c17ed1e5-c0e2-43f8-bd84-2b8196548803,none,cn-standard,exg-natl-bre-nat-law,188142-2025,False,32014L0024,DEU,vgv,01b84170-4298-4f91-b4cd-12379672fb2d,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
fbb34105-137f-42d3-9457-6b2e6735c4bd,none|none|none,can-standard,,188152-2025,False,32014L0024,DEU,vgv,b5244ed4-48b2-4512-944a-655de288cf51,selec-w|selec-w|selec-w,large|small,,556436.91,,DEU|DEU,,,,,,,EUR,556436.91,556436.91,False,13.229310871146037,2,large,4.0,0,1,0,0,0,0,0,0,0
d82616ed-62b9-4244-af88-56d52f9e7b97,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,cn-standard,exg-crim-corrpt,188154-2025,False,32014L0024,DEU,vgv,3d47c0c8-a48e-4066-809a-6765963be777,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
ff397d48-66f0-4020-bcff-49ee3c044317,none,can-standard,,188156-2025,False,32014L0024,DEU,vgv,037ef1bf-d8c4-42f7-be98-55ca2e94b529,clos-nw,,,,,,,,,,,,EUR,,,False,0.0,0,,,0,1,0,0,0,0,0,0,0
