notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_can-standard,notice_is_cn-standard,notice_is_can-modif,notice_is_pin-cfc-standard,notice_is_can-social,notice_is_pin-cfc-social,notice_is_cn-desg,notice_is_cn-social,notice_is_pin-only,total-value
950dacfc-8e8a-441f-b068-6c266adab374,114000.0,114000.0,11.643962499267984,0,,0,1,0,0,0,0,0,0,0,114000.0
4efb5bdb-06ff-47ca-94c4-c61ca11dbb9a,155190.0,155190.0,11.952411895359067,7,2.0,1,0,0,0,0,0,0,0,0,155190.0
2935503e-8eb5-42f8-8614-22be87ab436f,1500000.0,1500000.0,14.220976332738882,1,3.0,1,0,0,0,0,0,0,0,0,1500000.0
2bac3a5c-1158-4f26-9b40-745dc2a15ed7,741774.87,741774.87,13.516802414524996,0,,0,0,1,0,0,0,0,0,0,741774.87
2d4f10c3-43c4-41e6-8736-a49cb3b100be,1247216.13,1247216.13,14.036425331397258,0,,0,1,0,0,0,0,0,0,0,1247216.13
5b9bb6de-5714-4dcc-8caa-7d4910f3dc25,8467741.64,8467741.64,15.951774518710803,0,,0,1,0,0,0,0,0,0,0,8467741.64
6f92a345-908c-41fd-9c42-acfa71a731db,42480.0,42480.0,10.65681219612839,0,,0,0,1,0,0,0,0,0,0,42480.0
58401c28-015f-418f-ae36-8b41e801b17e,241884.0,241884.0,12.396217685580808,0,,0,0,1,0,0,0,0,0,0,241884.0
bb7bf0d5-a401-4d16-be52-1f0c2de3be49,1623074.13,1623074.13,14.29983313624481,0,,0,1,0,0,0,0,0,0,0,1623074.13
e41ef6bc-b8be-4bdd-aa4e-73c396db8831,953450.4,953450.4,13.76784373261347,1,3.0,1,0,0,0,0,0,0,0,0,953450.4
5fb636bb-abc5-4c9a-aeb0-c06ffa9c68b5,112050.0,112050.0,11.626709403776488,1,2.0,1,0,0,0,0,0,0,0,0,112050.0
efa686af-ea1f-4692-b8b7-dd7e806fcadf,665805.66,665805.66,13.408754607076936,0,,0,0,1,0,0,0,0,0,0,665805.66
1a639f9e-5102-4513-850c-f59276d48b55,299966.75,299966.75,12.611430247859799,0,,0,1,0,0,0,0,0,0,0,299966.75
