notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_can-modif,notice_is_can-social,notice_is_veat,notice_is_pin-only,notice_is_pin-rtl,notice_is_cn-social,total-value
233649b9-a115-49b7-ad92-2cfdbef36be6,1544521.8,1544521.8,14.250225553290734,0,,1,0,0,0,0,0,0,0,1544521.8
0c058466-f5fe-41b9-bf69-fb3c3997351d,4411271.2,4411271.2,15.299673686546088,0,,0,1,0,0,0,0,0,0,4411271.2
8444b799-3934-4980-bf19-d069124be1ac,3050530.0,3050530.0,14.930826231790888,3,3.0,0,1,0,0,0,0,0,0,3050530.0
6d168d74-ccc2-4557-8a66-73ccbc0942df,1945740.0,1945740.0,14.481153439345178,3,2.5,0,1,0,0,0,0,0,0,1945740.0
2597cb6d-3a15-448c-9256-6a3631c13e5a,1790.0,1790.0,7.490529402060711,1,2.5,0,1,0,0,0,0,0,0,1790.0
27a24090-45c7-44e4-a9fd-a3e924b44f27,24872239.32,23506828.500000007,17.029262892944875,0,,0,0,1,0,0,0,0,0,24872239.32
e3913fb6-03c4-4621-972e-e68c879bc573,300000.0,300000.0,12.611541086966115,0,,1,0,0,0,0,0,0,0,300000.0
36beb122-0170-4cea-8da6-98a2c14e34a4,14742.0,14742.0,9.59852367284982,0,,1,0,0,0,0,0,0,0,378000.0
4bbcdde2-1171-47ee-b4c9-44e06fb50b93,77071.77,77071.77,11.252505319478182,0,,0,1,0,0,0,0,0,0,77071.77
b942dd23-ce32-4a18-9f97-387dd6f9cf41,0.0,0.0,0.0,1,4.0,0,0,0,0,1,0,0,0,0.0
551d2eac-b9c3-433f-b9a5-339d3dac968b,1.0,1.0,0.6931471805599453,0,,1,0,0,0,0,0,0,0,1.0
354b9cc9-b719-483a-b0a1-e57b9794ae49,203921.0,203921.0,12.225492846769653,0,,1,0,0,0,0,0,0,0,203921.0
59fc4cd5-e28c-4542-aa62-a58008b580f6,305250.0,305250.0,12.628889667970862,0,,0,1,0,0,0,0,0,0,305250.0
0960bbcb-6d2c-41f8-9d36-d4e1b8ac693c,850613.4,850613.4,13.6537141908848,0,,1,0,0,0,0,0,0,0,21810600.0
